Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
1460000,2021-12-14,2,4,2,0.5626016260162602,1,33228,-33.76129,150.72784,0.5604651162790698,1639440000.0,6,0.3212137116402498
1756000,2017-10-30,2,4,4,0.8414634146341463,1,54704,-33.59895,151.32589,0.380905752753978,1509321600.0,6,0.5749233821942455
1950000,2021-10-26,1,2,0,0.0764227642276422,1,51532,-33.89313,151.20653,0.034516523867809,1635206400.0,3,0.0738299214409935
1111000,2021-11-08,2,3,5,0.9626016260162602,1,40716,-33.70698,150.70828,0.6041615667074663,1636329600.0,5,0.5260930400667982
1415000,2017-03-18,1,3,2,0.5642276422764227,1,38688,-33.72338,151.09579,0.2282741738066095,1489795200.0,4,0.4490721733785957
2950000,2021-03-28,2,3,2,0.5349593495934959,1,51064,-33.78063,151.16255,0.1230110159118726,1616889600.0,5,0.4730399027981159
2100000,2018-06-24,2,3,1,0.1886178861788618,1,72020,-33.82277,151.21527,0.0542227662178702,1529798400.0,5,0.1786628367485571
1700000,2019-09-27,2,3,2,0.5788617886178862,1,53404,-33.79242,151.21235,0.0951040391676866,1569542400.0,5,0.526346479868571
2500000,2021-12-23,1,3,1,0.2504065040650406,1,56784,-33.88143,151.15595,0.0613219094247246,1640217600.0,4,0.2355124325399044
905000,2017-11-23,1,3,1,0.5235772357723577,1,47736,-34.0069,151.08096,0.2378212974296205,1511395200.0,4,0.4127587406888657
710000,2020-03-23,2,4,1,0.4008130081300813,1,44668,-34.02561,150.73523,0.5758873929008568,1584921600.0,6,0.2253393778419608
1575000,2017-02-25,1,3,1,0.0699186991869918,1,53872,-33.90021,151.16983,0.0620563035495716,1487980800.0,4,0.0657116889270547
1100000,2016-08-29,3,4,2,0.4723577235772357,1,56368,-33.72449,150.85843,0.4380660954712363,1472428800.0,7,0.3048044708952296
2850000,2018-07-28,4,5,3,0.7121951219512195,1,51896,-33.78256,151.18105,0.1130966952264381,1532736000.0,9,0.6360360386798012
1442000,2021-11-27,1,2,2,0.1926829268292683,1,44876,-33.8268,151.10602,0.124969400244798,1637971200.0,3,0.1700472894335823
2400000,2021-11-27,1,3,0,0.1268292682926829,1,75764,-33.86465,151.17428,0.03671970624235,1637971200.0,4,0.1222566020777635
2660000,2021-10-13,3,5,2,0.8357723577235773,1,43472,-33.73636,151.07741,0.2268053855569155,1634083200.0,8,0.6661739955999197
2402000,2019-12-14,2,4,2,0.7585365853658537,1,49920,-33.73444,151.12793,0.1965728274173806,1576281600.0,6,0.623169282910643
838000,2016-11-28,2,3,2,0.448780487804878,1,37544,-33.81244,150.90067,0.3538555691554467,1480291200.0,5,0.3150332874658763
1810000,2021-07-28,2,4,2,0.3333333333333333,1,45240,-33.67706,151.30276,0.2725826193390452,1627430400.0,6,0.2538035064475354
2019000,2016-12-16,2,4,2,0.9544715447154472,1,32240,-33.74515,150.68955,0.6082007343941249,1481846400.0,6,0.5195469057309605
1135000,2021-12-23,2,4,1,0.1967479674796748,1,33800,-33.82378,150.93855,0.308812729498164,1640217600.0,6,0.1444756277554033
850000,2020-04-21,2,4,4,0.5203252032520326,1,38792,-33.94248,150.94138,0.3178702570379437,1587427200.0,6,0.378639191352083
658000,2018-12-04,1,3,1,0.4195121951219512,1,39832,-34.08232,150.70072,0.6433292533659731,1543881600.0,4,0.2204703773396606
1100600,2020-08-20,4,6,2,0.3186991869918699,1,32500,-33.69979,150.81845,0.4936352509179927,1597881600.0,10,0.1945350630356393
1582000,2020-10-10,2,3,2,0.532520325203252,1,36816,-33.98679,151.11717,0.1920440636474908,1602288000.0,5,0.439473316777708
1825000,2021-07-28,2,3,3,0.2398373983739837,1,44876,-33.75137,151.22303,0.1515299877600979,1627430400.0,5,0.2061143679995204
475000,2020-12-02,1,2,1,0.3739837398373983,1,25844,-33.25799,151.54324,0.9034271725826192,1606867200.0,3,0.1515302306846174
2505000,2021-04-23,3,4,2,0.5894308943089431,1,38168,-33.44581,151.42873,0.6175030599755202,1619136000.0,7,0.3178737926343831
652000,2018-01-29,2,3,2,0.18130081300813,1,34996,-33.79196,150.9468,0.3105263157894737,1517184000.0,5,0.1329045612816425
