Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
1210000,2020-02-24,2,2,1,0.0479674796747967,-1,24076,-33.88148,151.20456,0.0193390452876376,1582502400.0,4,0.0470487467553626
950000,2019-12-05,1,2,0,0.0886178861788618,-1,66560,-33.80338,151.29117,0.1208078335373316,1575504000.0,3,0.0785335466457188
315000,2016-07-19,1,2,1,0.0642276422764227,-1,33852,-33.34073,151.42855,0.7503059975520197,1468886400.0,3,0.0303297077363776
585000,2021-05-14,2,2,1,0.0593495934959349,-1,23556,-33.91991,151.03125,0.2118727050183598,1620950400.0,4,0.0480178379939152
695000,2020-11-26,1,1,0,0.040650406504065,-1,69732,-33.9082,151.19191,0.0582619339045287,1606348800.0,2,0.0383497075565181
1075000,2021-12-22,2,2,1,0.0666666666666666,-1,35412,-33.86794,151.20998,0.0001223990208078,1640131200.0,4,0.0666585072313097
480000,2020-08-27,1,2,2,0.0666666666666666,-1,23556,-33.91991,151.03125,0.2118727050183598,1598486400.0,3,0.0539378454178225
935000,2020-09-24,2,3,1,0.0796747967479674,-1,42172,-34.05314,151.1205,0.2708690330477356,1600905600.0,5,0.0607692725929984
1760000,2021-11-19,2,2,1,0.0479674796747967,-1,60320,-33.88447,151.21001,0.0225214198286413,1637280000.0,4,0.0468992580122496
751000,2016-11-03,2,2,1,0.0674796747967479,-1,42172,-33.91857,151.20485,0.0690330477356181,1478131200.0,4,0.0629784995196122
727000,2016-08-19,1,1,1,0.0219512195121951,-1,75764,-33.86465,151.17428,0.03671970624235,1471564800.0,2,0.021159796513459
638800,2017-04-28,2,2,1,0.0504065040650406,-1,23764,-33.9451,151.05302,0.2045287637698898,1493337600.0,4,0.0410828784462382
640000,2018-11-15,1,2,1,0.0357723577235772,-1,67028,-33.78265,151.28518,0.1370869033047735,1542240000.0,3,0.0311897202459633
588000,2019-11-27,1,2,1,0.0536585365853658,-1,41756,-34.05778,151.01793,0.3362301101591187,1574812800.0,3,0.0383368073642779
1050000,2021-03-31,2,2,2,0.0747967479674796,-1,38012,-33.93894,151.2136,0.0965728274173806,1617148800.0,4,0.0679112414823178
1050000,2021-10-13,2,3,2,0.0934959349593495,-1,37336,-33.99452,151.13524,0.1911872705018359,1634083200.0,5,0.0772255753030972
1180000,2018-06-15,2,3,2,0.156910569105691,-1,49920,-33.73444,151.12793,0.1965728274173806,1529020800.0,5,0.1289085440533269
2150000,2021-12-10,2,3,2,0.1048780487804878,-1,43628,-33.62899,151.32686,0.3433292533659731,1639094400.0,5,0.0744009701653864
420000,2020-09-15,1,1,0,0.0008130081300813,-1,57772,-33.86923,151.19249,0.0167686658506731,1600128000.0,2,0.0007994887363021
1125000,2021-11-12,1,1,1,0.0349593495934959,-1,39260,-33.93221,151.25393,0.1001223990208078,1636675200.0,2,0.0316286560689306
1120000,2021-09-28,2,2,2,0.08130081300813,-1,45552,-33.86665,151.12685,0.0904528763769889,1632787200.0,4,0.0742697057833622
1420000,2021-10-16,1,3,0,0.0308943089430894,-1,40248,-33.94543,151.24625,0.1128518971848225,1634342400.0,4,0.0275973593703112
649000,2016-06-16,2,2,1,0.0471544715447154,-1,42952,-33.85783,151.08877,0.1339045287637698,1466035200.0,4,0.041244769815829
1798888,2018-07-28,2,3,2,0.1024390243902439,-1,57772,-33.86923,151.19249,0.0167686658506731,1532736000.0,5,0.100735580774066
1600000,2021-09-22,2,3,2,0.1373983739837398,-1,56524,-33.82839,151.07771,0.1542227662178702,1632268800.0,5,0.117761545532457
471000,2020-11-05,1,1,1,0.0317073170731707,-1,37908,-33.86058,151.07927,0.1444308445532435,1604534400.0,2,0.0274431510978514
680000,2020-07-16,1,1,0,0.0170731707317073,-1,45604,-33.90769,151.2083,0.0541003671970624,1594857600.0,2,0.0161740466858073
827000,2020-04-27,2,2,2,0.0585365853658536,-1,44980,-33.75117,151.29037,0.1758873929008567,1587945600.0,4,0.0490953613459114
720000,2018-08-31,2,2,1,0.0495934959349593,-1,71812,-33.90226,151.18621,0.0533659730722154,1535673600.0,4,0.0470162704559181
1855000,2020-06-30,2,2,3,0.091869918699187,-1,60060,-33.8112,151.2183,0.0701346389228886,1593475200.0,4,0.0856474121787323
1650000,2016-12-09,2,3,0,0.1008130081300813,-1,71500,-33.88581,151.24417,0.0441860465116279,1481241600.0,5,0.096455460223517
645000,2020-02-19,1,2,1,0.0747967479674796,-1,39624,-33.96908,151.07198,0.2067319461444308,1582070400.0,3,0.0608275287212062
760000,2020-11-13,1,1,1,0.0926829268292682,-1,69732,-33.9082,151.19191,0.0582619339045287,1605225600.0,2,0.0874373332288612
745000,2016-07-30,2,3,2,0.1048780487804878,-1,32656,-33.97075,151.1214,0.1712362301101591,1469836800.0,5,0.0883726033599813
2350000,2021-12-15,2,3,2,0.1121951219512195,-1,24076,-33.88148,151.20456,0.0193390452876376,1639526400.0,5,0.1100462212244075
1760000,2020-11-20,1,2,1,0.0910569105691057,-1,53612,-33.76971,151.28907,0.1539779681762546,1605830400.0,3,0.0780622615856795
1150000,2021-11-08,2,2,2,0.08130081300813,-1,45552,-33.86665,151.12685,0.0904528763769889,1636329600.0,4,0.0742697057833622
675000,2019-10-28,1,3,1,0.0821138211382113,-1,30628,-33.94831,151.07815,0.1833537331701346,1572220800.0,4,0.0683575907653096
675000,2019-04-30,1,1,1,0.0300813008130081,-1,40872,-33.90035,151.20733,0.0441860465116279,1556582400.0,2,0.0287810647441139
