Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_lat,suburb_lng,km_from_cbd
2300000,18/2/16,2,4,0,0.07642276422764227,House,-33.87941,151.19845,0.019583843329253364
1500000,18/2/16,2,4,0,0.11138211382113822,House,-33.88143,151.15595,0.0613219094247246
1400000,19/2/16,2,3,3,0.28780487804878047,House,-33.88062,151.1169,0.10367197062423499
1265000,19/2/16,1,3,0,0.14634146341463414,House,-33.88143,151.15595,0.0613219094247246
510000,19/2/16,2,5,2,0.8105691056910569,House,-33.39553,151.33681,0.6499388004895961
1720000,20/2/16,1,4,2,0.383739837398374,House,-33.85608,151.10677,0.11383108935128518
1340000,20/2/16,1,2,2,0.18943089430894308,House,-33.87838,151.10412,0.11750305997552019
1300000,20/2/16,3,4,2,0.5333333333333333,House,-33.62899,151.32686,0.3433292533659731
1180000,20/2/16,2,3,3,0.23983739837398374,House,-33.93108,151.21145,0.08592411260709915
1110000,20/2/16,1,3,1,0.4715447154471545,House,-33.97301,151.00632,0.2694002447980416
875000,20/2/16,2,3,1,0.4195121951219512,House,-33.95493,150.99524,0.26817625458996325
865000,20/2/16,1,3,2,0.4195121951219512,House,-33.95493,150.99524,0.26817625458996325
595000,22/2/16,1,1,1,0.08130081300813008,Apartment,-33.62899,151.32686,0.3433292533659731
520000,23/2/16,1,3,1,0.45691056910569106,House,-33.47252,151.40208,0.5722154222766218
495000,23/2/16,1,3,1,0.4764227642276423,House,-33.36629,151.4607,0.7310893512851897
870000,24/2/16,3,4,4,0.7439024390243902,House,-33.52256,151.37418,0.49742962056303547
730000,24/2/16,2,4,2,0.47479674796747967,House,-33.47252,151.40208,0.5722154222766218
715000,24/2/16,3,5,2,0.5626016260162602,House,-33.49914,151.39045,0.533782129742962
453000,24/2/16,2,3,1,0.23577235772357724,House,-33.36629,151.4607,0.7310893512851897
2100000,25/2/16,1,4,1,0.3065040650406504,House,-33.85205,151.15424,0.06181150550795593
1985000,25/2/16,1,3,0,0.05853658536585366,House,-33.85966,151.20425,0.006119951040391676
1780000,25/2/16,1,3,0,0.05772357723577236,House,-33.85966,151.20425,0.006119951040391676
1415000,25/2/16,1,2,0,0.1886178861788618,House,-33.85841,151.14202,0.07380660954712362
1250000,25/2/16,2,3,6,0.8,House,-33.70172,151.27318,0.22949816401468787
545000,25/2/16,1,4,1,0.4560975609756098,House,-33.39553,151.33681,0.6499388004895961
1440000,26/2/16,3,5,3,0.5016260162601626,House,-33.62899,151.32686,0.3433292533659731
1230000,26/2/16,2,3,2,0.183739837398374,House,-33.9466,151.18371,0.11077111383108934
915000,26/2/16,2,5,2,0.47073170731707314,House,-33.86202,150.88392,0.36560587515299875
